ADDRESS,PRICE,BEDROOMS,BATHROOMS,GARAGE,FLOOR_AREA,BUILD_YEAR
1 Datchet Turn,270000,3,2,2.0,109,2011.0
1 McKenzie Corner,470000,4,2,2.0,279,2005.0
10 Addingham Crescent,455000,4,2,2.0,200,2004.0
10 Cleopatra Circuit,410000,4,2,2.0,148,2005.0
10 Corrour Bend,245000,3,2,1.0,105,2012.0
10 Daniels Place,394000,4,2,2.0,223,2006.0
10 Sanctuary Drive,385000,4,2,2.0,146,2007.0
10 Squires Avenue,410000,4,2,2.0,183,2006.0
10 Tranby Way,390000,4,2,2.0,153,2003.0
10 Yelka Way,460000,4,2,2.0,190,2002.0
11 Datchet Turn,160000,3,2,3.0,111,2011.0
11 Heathcote Way,335000,4,2,2.0,200,2005.0
11 Karda Way,382000,4,2,2.0,146,2006.0
11 Moombaki Avenue,508000,4,2,3.0,192,2005.0
11 Ostling Avenue,345000,4,2,2.0,162,2007.0
117 Millbrook Avenue,305000,3,2,1.0,116,2012.0
12 Ameer Crescent,353000,4,2,2.0,174,2005.0
12 Dewsbury Drive,360000,4,2,2.0,193,2008.0
13 Corrour Bend,360000,3,2,2.0,140,2012.0
13 Parkfield Boulevard,375000,4,2,2.0,166,2004.0
13 Unicorn Street,405000,4,2,2.0,143,2001.0
14 Champion Drive,290000,4,2,2.0,143,2012.0
14 Chieftain Street,366000,4,2,4.0,190,2001.0
14 John Forrest Circuit,420000,4,2,2.0,191,2006.0
14 Ludlow Way,290000,3,2,1.0,110,2012.0
14 Rewell Vista,430000,4,2,2.0,213,2006.0
14 Sanctuary Drive,518000,4,2,3.0,236,2007.0
14 Squires Avenue,455000,4,2,2.0,226,2007.0
15 Hunter Way,470000,4,2,2.0,183,2005.0
15 Keyham Street,300000,3,2,2.0,110,2009.0
15 Minstrell Road,433000,4,2,2.0,190,2005.0
15 Moston Crescent,399000,4,2,2.0,173,2009.0
16 Ameer Crescent,417000,4,2,2.0,190,2005.0
16 Leeuwin Chase,415000,4,2,2.0,165,2010.0
16 Mickle Way,360000,4,2,2.0,180,2006.0
16 Murphy Crescent,400000,4,2,2.0,195,2003.0
16 Parkfield Boulevard,429000,4,2,2.0,163,2002.0
16 Silverline Bend,350000,4,2,2.0,155,2008.0
16 Squires Avenue,452000,4,2,2.0,236,2005.0
16 Wimbledon Street,360000,4,2,2.0,165,2007.0
17 Greenham Way,300000,4,2,2.0,165,2006.0
17 John Forrest Circuit,368000,4,2,2.0,184,2008.0
17 Mccallum Parkway,347000,4,2,2.0,137,2005.0
17 Price Parkway,360000,4,2,2.0,165,2005.0
17 Warrior Pass,425000,4,2,2.0,128,2004.0
173 Bertram Road,466000,4,2,2.0,254,2005.0
18 Murphy Crescent,460000,4,2,2.0,218,2003.0
18 Ostling Avenue,430000,4,2,2.0,201,2007.0
18 Parkfield Boulevard,380000,4,2,2.0,190,2002.0
19 Millbrook Avenue,320000,3,2,2.0,94,2008.0
19 Waterfields Drive,305000,3,2,2.0,140,2010.0
2 Chipperton Road,567000,4,2,2.0,237,2001.0
2 Kawoor Mews,385000,3,2,4.0,198,2006.0
2 Orient Way,360000,4,2,2.0,186,2005.0
2 Rewell Vista,450000,4,2,2.0,164,2005.0
20 Camballin Loop,390000,4,2,2.0,187,2009.0
20 Cheltenham Loop,300000,3,2,2.0,129,2008.0
20 Kalbarri Crescent,436000,4,2,2.0,180,2008.0
20 Parkfield Boulevard,370000,4,2,5.0,142,2002.0
21 Burkett Terrace,445000,4,2,2.0,204,2005.0
21 Price Parkway,360000,4,2,2.0,144,2005.0
21 Waterfields Drive,355000,4,2,2.0,214,2009.0
22 Ludlow Way,285000,3,2,1.0,107,2011.0
22 Parkfield Boulevard,370000,4,2,2.0,153,2001.0
23 McCallum Parkway,340000,3,2,2.0,175,2005.0
23 Moombaki Avenue,511000,4,2,2.0,219,2005.0
230 Johnson Road,389000,3,2,3.0,140,2005.0
24 Burkett Terrace,385000,4,2,2.0,184,2006.0
24 Caroline Crescent,360000,3,2,2.0,144,2004.0
24 Daintree Loop,425000,4,2,2.0,202,2003.0
24 Protector Way,359000,3,2,2.0,137,2006.0
24 Whiteman Crescent,373000,3,2,2.0,200,2002.0
253 Johnson Road,350000,4,2,6.0,152,2006.0
26 Keyham Street,400000,4,2,2.0,172,2010.0
26 Silverline Bend,372500,4,2,2.0,173,2010.0
27 Chipperton Road,485000,4,2,4.0,210,2006.0
271 Johnson Road,470000,4,2,2.0,255,2007.0
277 Johnson Road,372000,4,2,2.0,166,2006.0
28 Burkett Terrace,325000,4,2,2.0,153,2006.0
28 Camballin Loop,420000,4,2,2.0,213,2010.0
283 Johnson Road,380000,4,2,2.0,150,2006.0
29 Araluen Crescent,302000,3,2,2.0,158,2006.0
29 Centennial Avenue,435000,4,2,2.0,200,2004.0
29 Dewsbury Drive,375000,3,2,2.0,126,2008.0
2A Lilac Pass,277000,4,2,2.0,141,2006.0
3 Antrim Way,336000,4,2,2.0,122,2011.0
3 Cape York Ramble,370000,4,2,2.0,165,2004.0
3 Hunter Way,355000,4,2,2.0,152,2006.0
3 Ludlow Way,276000,3,2,2.0,110,2011.0
3 Napoleon Way,320000,4,2,2.0,143,2005.0
30 Chieftain Street,400000,4,2,2.0,171,2006.0
30 Datchet Turn,296000,3,2,2.0,130,2011.0
30 Koomba Rise,445000,4,2,2.0,185,2006.0
31 Araluen Crescent,380000,4,2,2.0,150,2005.0
31 Chieftain Street,420000,4,2,2.0,178,2006.0
31 Keyham Street,315000,4,2,2.0,130,2010.0
31 Millbrook Avenue,270000,3,2,2.0,125,2008.0
32 Centennial Avenue,420000,4,2,2.0,209,2003.0
32 Parkfield Boulevard,310000,3,2,2.0,160,2000.0
32 Sanctuary Drive,500000,4,2,2.0,216,2008.0
33 Champion Drive,445000,4,2,2.0,243,2003.0
34 Araluen Crescent,370000,4,2,2.0,157,2006.0
36 Moston Crescent,355000,3,2,2.0,123,2010.0
37 Datchet Turn,310000,3,2,2.0,99,2010.0
38 Camballin Loop,370000,4,2,2.0,184,2009.0
38 Shannon Pass,350000,4,2,2.0,191,2011.0
39 Araluen Crescent,400000,3,2,2.0,158,2005.0
4 Bailey Way,432000,4,2,2.0,179,2007.0
4 Britannia Way,516000,4,2,2.0,240,2006.0
4 Cheltenham Loop,360000,3,2,2.0,137,2009.0
4 Datchet Turn,283000,3,2,2.0,117,2011.0
4 John Forrest Circuit,390000,4,2,2.0,154,2006.0
4 Maynard Way,387000,4,2,2.0,156,2005.0
4 McCallum Parkway,435000,4,2,2.0,236,2006.0
4 Napoleon Way,390000,5,2,2.0,153,2006.0
4 Silverline Bend,380000,4,2,2.0,157,2007.0
4 Thompson Terrace,340000,4,2,2.0,154,2002.0
4 Wimbledon Street,485000,4,2,2.0,213,2004.0
4 Yelka Way,400000,3,2,2.0,185,2002.0
40 Cheltenham Loop,254000,3,2,2.0,143,2008.0
41 Chieftain Street,479000,4,2,3.0,210,2006.0
41 Moombaki Avenue,480000,4,2,2.0,224,2010.0
42 Daintree Loop,410000,4,2,2.0,175,2002.0
43 Minstrell Road,482500,4,2,4.0,214,2007.0
46 Daintree Loop,352500,4,2,2.0,140,2002.0
46 John Forrest Circuit,465000,4,2,2.0,215,2010.0
46 Sanctuary Drive,410000,4,2,2.0,210,2008.0
47 ARALUEN CRESCENT,390000,4,2,2.0,171,2006.0
48 Moombaki Avenue,482000,4,2,4.0,242,2007.0
49 Araluen Crescent,400000,4,2,4.0,161,2006.0
5 Drummore Way,390000,4,2,2.0,187,2004.0
5 Jardine Pass,455000,4,2,2.0,190,2004.0
5 Kail Place,365000,3,2,2.0,143,2006.0
5 Karda Way,428000,4,2,2.0,160,2005.0
5 Orient Way,430000,4,2,2.0,170,2004.0
5 Ostling Avenue,336000,4,2,2.0,149,2006.0
5 Range Way,348000,4,2,2.0,181,2007.0
5 Stratford Road,350000,3,2,2.0,137,2009.0
5 Wimbledon Street,325000,4,2,2.0,190,2004.0
5 Yoorn Way,455500,4,2,2.0,211,2007.0
52 Cheltenham Loop,365000,4,2,2.0,142,2008.0
53 Araluen Crescent,477500,4,2,2.0,178,2006.0
53 Parkfield Boulevard,293000,4,2,2.0,144,2003.0
55 Parkfield Boulevard,416000,4,2,2.0,184,2000.0
58 Centennial Avenue,321500,3,2,2.0,147,2010.0
58 Wanstead Vista,520000,4,2,2.0,280,2011.0
6 Bailey Way,374000,4,2,2.0,151,2006.0
6 Britannia Way,407000,4,2,2.0,173,2005.0
6 Burkett Terrace,500000,4,2,2.0,230,2006.0
6 Camballin Loop,340000,4,2,2.0,154,2010.0
6 Cheltenham Loop,300000,4,2,2.0,121,2009.0
6 Heyford Parade,339000,4,2,2.0,123,2009.0
6 John Forrest Circuit,415000,4,2,2.0,184,2006.0
6 Kalbarri Crescent,470000,4,2,4.0,206,2009.0
6 Kawoor Mews,500000,4,2,2.0,227,2008.0
6 Lakewood Grove,385000,4,2,2.0,186,2006.0
6 Maynard Way,430000,4,2,4.0,150,2006.0
6 McCallum Parkway,460000,6,3,2.0,167,2005.0
6 Moombaki Avenue,455000,4,2,2.0,167,2004.0
6 Renton Way,358000,3,2,2.0,126,2011.0
6 Warrior Pass,270000,3,2,2.0,128,2003.0
6 Yelka Way,368000,4,2,2.0,144,2002.0
6 Yirel Close,400000,4,2,2.0,191,2005.0
6 Yoorn Way,365000,4,2,2.0,185,2007.0
62 Champion Drive,430000,4,2,2.0,190,2006.0
63 Centennial Avenue,359000,4,2,2.0,164,2009.0
67 Sanctuary Drive,362500,4,2,2.0,218,2010.0
7 Ameer Crescent,410000,4,2,2.0,155,2005.0
7 CAPE YORK RAMBLE,440000,4,2,2.0,148,2003.0
7 Daintree Loop,429900,5,2,2.0,292,2002.0
7 Diadem Crescent,373000,4,2,4.0,154,2005.0
7 Drummore Way,467800,4,2,2.0,201,2005.0
7 Everglades Link,350000,4,2,4.0,185,2006.0
7 Millom Way,360000,3,2,2.0,116,2012.0
7 Tain Way,300000,3,2,2.0,126,2011.0
7 Tranby Way,405000,3,2,2.0,177,2003.0
7 Yirel Close,350000,4,2,4.0,191,2004.0
70 Wanstead Vista,515000,5,3,2.0,237,2006.0
74 Centennial Avenue,329000,4,2,2.0,196,2009.0
74 Price Parkway,405000,4,2,2.0,157,2008.0
76 Centennial Avenue,360000,4,2,2.0,142,2011.0
8 Centennial Avenue,362000,4,2,2.0,144,2003.0
8 Corrour Bend,285000,3,2,2.0,106,2012.0
8 Daintree Loop,387000,4,2,2.0,140,2002.0
8 Dewsbury Drive,307000,3,2,2.0,160,2008.0
8 Drummore Way,360000,4,2,2.0,145,2005.0
8 Kalbarri Crescent,370000,4,2,2.0,143,2007.0
8 Leeuwin Chase,375000,4,2,2.0,138,2006.0
8 Minstrell Road,457000,4,2,2.0,246,2005.0
8 Moombaki Avenue,490000,4,2,2.0,193,2004.0
8 Napoleon Way,316000,4,2,2.0,142,2005.0
8 Protector Way,380000,4,2,1.0,147,2004.0
8 Sanctuary Drive,470000,4,2,2.0,195,2007.0
8 Silverline Bend,385000,4,2,2.0,162,2008.0
82 Price Parkway,312000,3,2,2.0,170,2008.0
87 Johnson Road,419000,4,2,2.0,198,2009.0
9 Cape York Ramble,429000,4,2,2.0,211,2003.0
9 Champion Drive,329000,4,2,2.0,163,2006.0
9 Ganges Way,315000,3,2,2.0,114,2013.0
9 Kalbarri Crescent,442000,4,2,4.0,240,2008.0
9 Kawoor Mews,380000,6,3,2.0,200,2006.0
90 Centennial Avenue,376000,4,2,2.0,180,2008.0
93 Centennial Avenue,350000,4,2,2.0,177,2005.0
98 Centennial Avenue,441000,4,2,2.0,195,2004.0
